Covidence,Study.ID,design,alpha,power,effect_size_type,effect_size_value,software,rep_w_info_provided,eta_sqaured_setting,conditionally_reproducible,conditions_assumed,appropriate_software,hypothesis_quote,matches_primary_hypotheses,matches_design,repro_software
2022,Güldenpenning 2019,mixed_anova,.05_tails_not_reported,95,f,0.25,gpower,no,notapp,yes,"3 groups, 2 measurements",yes,"In line with the theory of ironic processes of mental control (Wegner, 1994, 2009), we predicted that the head-fake effect would be more pronounced in the ironic instruction groups.",yes,yes,gpower
2019,Nunes 2019,multiple_regression,.05_tails_not_reported,95,unknown,0.5,gpower,no,notapp,yes,"effect size f2, linear multiple regression, r2 deviation from zero",yes,"Therefore, the present study aimed to assess whether there is a relationship between Achilles tendon morphology, gastrocnemius muscle architecture and ankle plantar flexors function (strength, flexibility and endurance) in ballet dancers.",yes,yes,gpower
2018,Denis 2019,unknown  ,.05_tails_not_reported,60,d,0.6,not_reported,no,notapp,no,not_app,not_app,"We hypothesized that active tDCS stimulation over the right dlPFC would result in better cognitive inhibition performance, and in turn, lead to better endurance performance compared to a sham tDCS condition. The Eriksen flanker task was implemented during the physical task to measure inhibition performance (Eriksen & Eriksen, 1974). We therefore expected to observe a mediation effect of HD-tDCS on endurance times by the executive function of inhibition.",unknown,unknown,not_app
2010,Leite 2019,mixed_anova,.05_tails_not_reported,80,f,0.25,gpower,no,notapp,no,not_app,not_app,"Our main hypothesis was that EIMD would hinder motor learning due to disruptions in proprioceptive signals/information as such information is related to the processes of motor performance (Sainburg et al., 2017; Sevrez & Bourdin, 2015) and motor learning (Dimitriou, 2016; Dimitriou & Edin, 2010; Hwang & Shadmehr, 2005).",yes,yes,not_app
2002,Jafarnezhadgero 2020,unknown  ,.05_tails_not_reported,80,unknown,0.8,gpower,no,notapp,no,not_app,not_app,"We hypothesized that long-term use of arch support FOs would modify the lower limb inter-joint coordination towards in-phase patterns (especially the ankle inversion/eversion and knee internal/external rotation joint coupling angle) (Noghondar & Yazdi, 2017). We also hypothesized that FOs would not affect lower limb inter-joint coordination variability, which is consistent with a previous research suggesting that insoles have no impact on inter-joint coordination variability of the lower extremity (Noghondar & Yazdi, 2017).",unknown,unknown,not_app
1998,Harput 2020,two_dependent,unknown,90,d,1.12,gpower,no,notapp,yes,"dependent t-test, two tails, cohen's d, alpha = 0.05",yes,"It was hypothesized that there would be greater VMO, RF and VL muscle activation with AE during all phases of the exercises.",no,no,gpower
1996,Uiga 2020,mixed_anova,tails_not_reported_other,95,pn2,0.06,gpower,no,not_reproducible,no,not_app,not_app,"We hypothesized, however, that low reinvestors would show greater decrements in balance performance following the intervention than high reinvestors, because low reinvestors are less accustomed to conscious verbal processing of their movements (i.e., relying more on procedural knowledge than high reinvestors, who tend to rely on both procedural and declarative knowledge). As the verbalization intervention provides an opportunity to access or create declarative knowledge about balancing, we expected to see similar trends among both young and older adults.",yes,no,not_app
1992,Sant'AnnadoCarmoAprigio 2020,unknown  ,.05_tails_not_reported,80,unknown,not_app,not_reported,no,notapp,no,not_app,not_app,"It is hypothesized that body sway increases with muscle fatigability, but movement strategies remain the same, marked by a larger COP area and velocity but similar spatial patterns of 3D-SKG.",unknown,unknown,not_app
1990,Amaral-Felipe 2020,unknown  ,.05_tails_not_reported,95,unknown,1.57,gpower,no,notapp,yes,"independent t-test, effect size d, one tail, ",yes,"Therefore, this study aimed to assess gait kinematic adaptation under different simulated street crossing conditions in older adults with PD, and to compare their performance with older adults without PD. We hypothesized that PD would have more impairments on gait variables than CG, mainly during street crossing.",unknown,unknown,gpower
1987,Yamada 2020,unknown  ,unknown,95,unknown,1.85,gpower,no,notapp,no,not_app,not_app," We hypothesized that individuals with PD would present greater spatiotemporal changes, such as a reduction of step length, gait speed, and swing time, and an increase in cadence, support time, double support time, and step width in comparison to individuals without PD, and that such changes are more evident during walking while performing tasks of the daily life.",unknown,unknown,not_app
