Covidence,Study.ID,design,alpha,power,effect_size_type,effect_size_value,software,rep_w_info_provided,eta_sqaured_setting,conditionally_reproducible,conditions_assumed,appropriate_software,hypothesis_quote,matches_primary_hypotheses,matches_design,repro_software,notes
1864,Aloraini 2019,unknown  ,.05_tails_not_reported,80,unknown,not_app,not_reported,no,notapp,no,not_app,not_app,"Based on previous studies, we hypothesized that when adopting an external focus of attention participants would show earlier APAs onset and more efficient (lower) APAs magnitude. Further, we anticipate that when adopting an external focus of attention the improvement in APAs is accompanied with improved performance in behavioral and kinematic measures. This improved performance is seen as shorter MT, higher PV, shorter ttPV and more accurate target endpoint (SDT).",unknown,unknown,not_app,
1861,Walter 2019,unknown  ,unknown,96.7,unknown,0.81,gpower,no,notapp,yes,"anova:repeated measures, within factors, effect size f, 2 groups, 2 measures, corr = 0.5, nonesphericity = 1.",yes,"On one day (which happened to be the second day of testing), the relative magnitude of pitch and roll closely resembled Walter et al. (2017); that is, the more typical conditions in which roll > pitch. On this day, we expected to replicate the direction-specific effects that were reported by Walter et al. That is, we expected that participants would judge that they could walk farther along the athwart path than along the fore-aft path, and that judgments would accurately reflect actual performance. On the other day (which happened to be the first day of testing), the relative magnitudes of pitch and roll were reversed, such that pitch > roll. Under this condition, we predicted that participants would judge that they could walk further along the fore-aft path than on the athwart path, and that judgments would accurately reflect actual performance",unknown,unknown,gpower,
1858,Barbieri 2019,unknown  ,.05_tails_not_reported,95,unknown,not_app,gpower,no,notapp,no,not_app,not_app,"We hypothesized that people with PD would have more postural control asymmetries than the control group. Based on prior associations found between postural asymmetry and falls (Beretta et al., 2018), we also expected that PD fallers would have greater postural asymmetry than PD non-fallers.",unknown,unknown,not_app,"They say: ""a sample size of at least 39 individuals (10 in each group) was needed for a 95% probability to detect a difference of 20% between the groups for the primary outcome with a type I error of 0.05."". I do not know if I should accept .20 as the effect size, but even if I do, I cannot reproduce the power calculation. "
1852,Harry 2019,unknown  ,.05_tails_not_reported,80,unknown,1,gpower,no,notapp,no,not_app,not_app,"The following hypotheses were tested: 1) WV use would not alter peak vertical GRF and joint work characteristics in men and women due to a corresponding decrease in jump-landing height, and 2) lesser vertical GRF but increased joint work would be exhibited by women in comparison to men during VJL with and without a WV.",unknown,unknown,not_app,It seems like they have a 2 (sex) x 2 (load) Mixed factor design. 
1850,Nascimento 2019,unknown  ,.05_tails_not_reported,80,unknown,,not_reported,no,notapp,no,not_app,not_app,"We hypothesized that trained infants would perform higher number of reaches, proximal adjustments, functional distal adjustments (more reaches with semi-open or open hand) and reaches with grasping than untrained
infants. In addition, we expected that these improvements would not be retained 4 min later, thus demonstrating the need of continued practice for more lasting motor adaptations.",unknown,unknown,not_app,They did not report effect size and design.
1845,daCosta 2019,unknown  ,.05_tails_not_reported,80,r,0.8,not_reported,no,notapp,no,not_app,not_app,"Therefore, our initial hypothesis was that increased sensory threats, such as removing visual information and changing the compliance of the support surface, would affect CoP trajectories by increasing the area of CoP sway and the regularity of CoP trajectories, and decreasing the complexity of postural control, indicating rigidity and predictability of the system. Considering their neuromotor impairments (Woollacott & Shumway-Cook, 2005), we believe these changes will be more pronounced in children with CP.",unknown,unknown,not_app,
1829,Bacelar 2020,mixed_anova,.05_tails_not_reported,80,pn2,0.09,gpower,no,spss,yes,pn2 as in spss,no,"Based on studies investigating the effect of rewards on motor skill learning (Abe et al., 2011; Dayan et al., 2014; Steel et al., 2016), we predicted that giving participants rewards during practice would result in better learning of both action selection and action execution tasks as indexed by performance at 24-hr and 7-day post-test.",yes,yes,gpower,"If we decide to be picky, I did not mention that I used pn2 as in spss. Also, there is a mismatch between what's said in the manuscript and what is said in the pre-registration."
1818,Abdollahipour 2020,mixed_anova,.05_tails_not_reported,90,pn2,0.06,gpower,no,default,yes,"default pn2, 2 groups, 3 measurements, nonesphericity = 1",no,"We hypothesized that bowling performance would be enhanced (i.e., greater number of pins knocked down) in the optimized relative to the control group, irrespective of the order in which the three factors
were implemented.",no,yes,gpower,I do not think the design matches the hypothesis because they powered for the interaction but are interested in the main effect of group
1772,Gand√≠a 2019,unknown  ,.05_tails_not_reported,80,w2,0.21,gpower,no,notapp,no,not_app,not_app," Because Sullivan et al. (2008) found that childrenís motor learning was greater when they received 100% rather than 62% feedback when learning a simple task, it is hypothesized that, for the relatively complex balance task it would be necessary to provide feedback to adolescents after every trial rather than less frequently (Wulf et al., 2010).",unknown,unknown,gpower,"If you assume f=0.2948839 (pn2=0.08 - total guess), anova repeated measures, within-between interaction, 3 groups, 3 measurements, corr=0.5, you get 27."
1707,Grand 2019,multiple_regression,.05_tails_not_reported,80,f2,0.15,gpower,yes,notapp,not_app,not_app,yes,"It was predicted that (1) choice participants would exhibit superior learning, as indicated by significantly greater accuracy (lower RE) and precision (lower BVE) on the retention and transfer tests; (2) choice participants would report significantly higher IMI scores on all subscales; (3) FRN/RewP amplitude would be greater for the choice group; and (4) both FRN/RewP amplitude and IMI scores would predict greater accuracy and precision.",yes,yes,gpower,
1698,Sherwood 2019,unknown  ,unknown,70,f,0.3,gpower,no,notapp,no,not_app,not_app,"When vision was available, we expected that a focus on extraneous factors (either internal or external) would disrupt performance (Castaneda & Gray, 2007), whereas focusing on external skill-related factors would improve performance. When vision was not available, we expected that a task-related external FOA would result in better performance than would a task-related internal FOA (Sherwood et al., 2014a). ",unknown,unknown,not_app,"If you assume one-way ANOVA, f=0.3, 70% power and 2 groups, you get 72. However, they reported 71 as the sample size. "
1692,Lee 2019,multiple_regression,.05_tails_not_reported,80,f2,0.15,not_reported,no,notapp,no,not_app,not_app,"Therefore, the purpose of this study was to examine the linear relationship between school day physical activity and gross motor skills testing various motivational constructs (i.e., perceived competence, enjoyment,
self-efficacy) as potential mediators in a sample of sixth-grade students recruited from a public ìZoomî school.",yes,no,not_app,"I assumed this was the paper by Fu and Burns were correct. If you use multiple regression, r2 deviation from zero, f2=0.15, 80% power and 2 predictors, you get 68. They reported 65."
1680,Andruschko 2019,unknown  ,two-tailed_.05,20,d,0.5,not_reported,no,notapp,,,,"It was hypothesized that girls in the intervention group would have a smaller decline in physical activity and a greater increase in movement skill proficiency, compared with their control group peers.",unknown,unknown,,This study did not conduct a priori power calculation
1659,Pesce 2019,unknown  ,.05_tails_not_reported,80,f,0.33,not_reported,no,notapp,yes,one-way anova omnibus,not_app,"Specifically, the aim of the present study was to investigate the role played by gender and sport practice when children under- or overestimate their motor competence and the biomechanical correlates of perceived-actual competence (mis)match.",unknown,unknown,gpower,"I was able to reproduce the power calculation using an anova one way. However, I think they used an ANCOVA or ANOVA (main effects, interactions) because they provide the degrees of freedom. If you use ANCOVA, you get 92. This may be why they say ""optimal sample size of 93"", because they had 3 groups and 93 is divisible by 3."
1649,Rhoads 2019,multiple_regression,.05_tails_not_reported,80,f2,0.1,gpower,yes,notapp,not_app,not_app,yes,"Based on previous research in the academic domain, we believe expecting to teach will enhance learning, and teaching will interact with expecting to teach, by increasing learning significantly more than expectation alone. That is, participants who expect to teach will exhibit superior learning relative to those who do not, and participants who expect to teach and teach will demonstrate greater learning than participants who only expect to teach",yes,yes,gpower,
1645,Leiker 2019,multiple_regression,.05_tails_not_reported,80,f2,0.15,gpower,yes,notapp,not_app,not_app,yes,"The primary hypothesis of this study was that participants in the self-controlled group would show superior learning (i.e., better performance on retention and transfer tests, based on the ingame score) compared to the yoked group.",yes,no,gpower,"The used an mixed-factor ANCOVA for the primary analysis. Although an ANCOVA is a regression, they did not add post-test to the regression like they did to the ANCOVA."
1638,Surkar 2019,two_independent,.05_tails_not_reported,95,d,1.3914372,not_reported,yes,notapp,not_app,not_app,not_app,"Our hypotheses were: 1) there will be notable differences in the planning, and execution of the respective movement phases between TD and children with HCP; 2) planning would be hindered if the final movement in the sequence was more complex due to biomechanically complex target position in TD as well as in children with HCP, and planning of children with HCP will be more affected than TD children.",match_one,no,gpower,"I assumed it was a one-tail t-test because they provide the groups' means and we can see the direction based on that. I also assumed cohen's d even though it is not mentioned. Even though they use a t-test at some point, it is not to test the dependent variable RT (they use it for task failure)."
