Covidence,Study.ID,design,alpha,power,effect_size_type,effect_size_value,software,rep_w_info_provided,eta_squared_setting,conditionally_reproducible,conditions_assumed,appropriate_software,hypothesis_quote,matches_primary_hypotheses,matches_design,repro_software,notes
2183,Lima 2021,unknown  ,.05_tails_not_reported,80,unknown,not_app,not_reported,no,notapp,no,not_app,not_app,"We hypothesized that individuals with diabetes without and with DNP would exert lower GF (i.e., set a lower SM) than controls during the simple holding task, but individuals with diabetes without and with DPN would not be different from each other",unknown,unknown,not_app,
2181,Thomas 2021,two_independent,.05_tails_not_reported,90,d,1.29,gpower,no,notapp,yes,two_tails,yes,"We hypothesised that: 1) patterned surfaces would be detrimental to descent safety – characterised by reduced confidence and increased anxiety, slower and more cautious gait, and reduced foot clearances; 2) patterned surfaces would cause participants to look less steps ahead, and at the steps for longer; 3) stepedge highlighters would lead to increased foot clearances; 4) older adults would be more ‘at risk’, with more adaptations than young necessary to negotiate patterned steps and steps with no edge-highlighters (e.g. slower descent), in addition to riskier stepping patterns (e.g. smaller foot clearances).",no,no,gpower,
2180,Bagesteiro 2021,unknown  ,.05_tails_not_reported,80,unknown,1.77,not_reported,no,notapp,yes,"independent_t, d, two-tails, equal-allocation",not_app,"...the dynamic dominance hypothesis (Sainburg, 2002, 2005), which suggests that the two
brain hemispheres have independent controllers dedicated to distinctive characteristics of movement: the dominant hemisphere
controlling the effects of intersegmental dynamics (e.g., trajectory control), and the nondominant hemisphere controlling limb posture
(e.g., final location specification); In the current study, we investigated the pattern of motor adaptation in children aged 9–11 years old to determine their interlimb
(a)symmetries during targeted reaching movements, which has received less attention in previous studies.",unknown,unknown,gpower,second effect size = 1.92; exact sample size in between power for two effect sizes
2178,Sperl 2021,unknown  ,.05_tails_not_reported,80,r,-0.4,not_reported,no,notapp,no,not_app,not_app,"First, based on Sperl and Canal-Bruland ˜ (2020b), we predicted that the amount of performance deterioration would be associated with lower prepotent response inhibition scores, but that there would be no association with resistance to proactive interference.",unknown,unknown,not_app,cited effect from other paper but unable to match power results
2174,Maloney 2021,two_dependent,two-tailed_.05,80,unknown,not_app,gpower,no,notapp,yes,d = 1.1,yes,This study aimed to examine the effect of attentional focus on highly skilled swimmers performing the dive start and test the hypothesis that there would be no performance differences between internal and external attentional focus conditions,yes,yes,gpower,"if we calculated dz from cited paper and assume .62 correlation between means, we get dz =1.1 and reproduce the analysis"
2172,ApolinÃ¡rio-Souza 2021,unknown  ,unknown,95,unknown,not_app,gpower,no,notapp,no,not_app,not_app,We hypothesized the practice in a variable incidental context would enable learners to be more resistant to the effects of the contextual changes when compared to a constant incidental context practice,unknown,unknown,not_app,
2161,Yagi 2021,ws_factorial_anova,.05_tails_not_reported,80,unknown,0.4,gpower,no,notapp,no,not_app,not_app,"Therefore, this study aimed to explore the function of the PM by measuring its muscle stiffness in the non-weight-bearing and
weight-bearing conditions in vivo.",yes,yes,not_app,
2151,Zheng 2021,unknown  ,.05_tails_not_reported,80,unknown,0.25,gpower,no,notapp,no,not_app,not_app,"Hence, we anticipated that highskilled goalkeepers would act closer to the critical boundary set by maximum achievable dive velocity (i.e., ratio closer to 1.0), while
intermediates would show larger deviation with respect to this boundary. Within groups, we expect that even with varying action
capabilities, the action scaled affordances (i.e., dimensionless ratio or pi-number) would be comparable among goalkeepers (see Dicks,
Davids, & Button, 2010). Presuming that goalkeepers would
typically start initiation before foot-ball-contact, we assessed if dive onset was coordinated to the moment the penalty taker’s kicking
leg left the ground to kick the ball or to the moment the non-kicking leg was placed next to the ball. Following earlier work in
information-based control (e.g., Michaels, Zeinstra, & Oudejans, 2001; cf. Fajen, 2007), we reasoned that if the goalkeeper’s lateral
dive onset is triggered by one of these events, then they would be constant (or invariant) across distance and speed conditions.",unknown,unknown,not_app,"assuming effect was f, they needed N = 86, not 16… "
2149,Marques 2021,other,.05_tails_not_reported,90,unknown,1.56,gpower,no,notapp,no,not_app,not_app,"The hypothesis was that older adults living or spending
most of the time in non-family environment settings would present slower gait speed, shorter stride length, longer stance time, and
higher temporal gait kinematic variability than community-dwelling older adults",match_one,no,not_app,"design was vague, but did not match analysis, so it is difficult to judge "
2135,Bahmani 2021,multiple_regression,.05_tails_not_reported,95,f2,0.15,gpower,no,notapp,yes,"tests 3 predictors, r-squared change",yes,"Therefore, the purpose of our study was to examine if children’s motor imagery modality dominance influenced the relationships between attentional focus and motor learning of an overarm
ball-tossing task. Consistent with the majority of past research, we hypothesized that children with higher values of kinesthetic imagery dominance would elicit superior learning when provided internal focus instructions, whereas children with higher values of visual imagery dominance (including internal- and external-visual imagery) would demonstrate superior learning when provided external focus instructions.",yes,yes,gpower,
2134,Mani 2021,unknown  ,unknown,80,f,0.626,gpower,no,notapp,yes,"one-way anova, alpha .05",yes,"We made the following hypotheses: 1) direction specificity development is present, and APAs in the AP axis mature earlier than those in the ML axis (Blanchet et al., 2019; Ledebt et al.,
1998); 2) the development process of temporal and spatial control, and coordination pattern of APAs varies, that is, the temporal and
coordination controls of APAs take longer to mature than spatial control, and these controls are not yet fully achieved until at least 10
years of age (Palluel et al., 2008; Mani et al., 2019; Schmitz et al., 2002; Barlaam et al., 2012). ",unknown,unknown,gpower,hypotheses more granular than can be tested with one-way anova
2129,Lucaites 2020,unknown  ,.05_tails_not_reported,90,unknown,0.3,not_reported,no,notapp,no,not_app,not_app,"Hypothesis 1:. The presented door-width ratio will predict the buffer used on each trial, with smaller ratios being associated with
larger buffers.
Hypothesis 2:. Person-level metrics of motion variability will predict the buffer used on each trial, with larger aggregated variance
in A) lateral sway magnitude and B) shoulder angle when passing through the door being associated with a larger buffer space when
passing.
Hypothesis 3:. Trial-level metrics of motion variability will predict the buffer used on each trial, with A) higher lateral sway
magnitude and B) higher sway complexity being associated with a larger buffer space when passing. ",unknown,unknown,not_app,
